playerName,freeThrowsMade,points,plusMinusPoints,fieldGoalsMade,PER,turnovers,USG%,gamesPlayed,reboundsDefensive,minutes,assists,Actual_AllStar,Predicted_AllStar,Prediction_Confidence
Julian Champagnie,9,130,75,50,11.526057529610831,8,9.852714470654638,51,43,591.0,23,0,0,0.0
Jerami Grant,5,141,55,54,12.484483718937447,10,13.4330384589663,46,51,466.8,29,0,0,0.0
Ersan Ilyasova,128,712,-18,261,20.90637020019692,41,18.08994628122043,78,264,1523.5,29,0,0,0.0
PJ Dozier,3,14,-18,5,7.048865384615383,1,17.598103496312937,6,8,52.0,1,0,0,0.0
Dwight Powell,187,987,-269,327,20.844071577054887,140,23.295165946917827,59,493,1779.9,178,0,0,3.04
Cole Anthony,26,153,-148,56,12.121313259109307,24,20.821767660749792,28,81,395.2,16,0,0,0.0
Tyler Ennis,140,965,54,412,21.16541288135593,84,17.557810773768345,81,497,2212.5,194,0,0,1.72
Kevin Garnett,2,27,-27,11,18.52630744849446,3,20.59079528786292,8,11,63.1,6,0,0,0.0
De'Aaron Fox,77,311,-96,116,20.422629418774005,45,17.15026047154515,62,167,755.3,42,0,0,0.0
Al Horford,58,520,-159,231,13.080992551813468,98,21.586828991742788,82,201,1235.2,59,0,0,0.13
Kyle Lowry,4,17,-12,6,4.699041353383457,2,20.98908610287063,28,3,53.2,4,0,0,0.0
Tyler Ennis,2,52,-118,21,6.424547996272136,17,19.11941085061592,54,17,214.6,40,0,0,0.0
Delon Wright,90,666,-53,261,17.444432013769354,95,19.733061757152,71,161,1394.4,125,0,0,0.0
Wendell Carter Jr.,0,14,3,6,27.75757281553399,0,15.77249178268808,9,5,30.9,3,0,0,0.0
Justin James,29,187,-33,74,16.043431952662722,29,12.583994225522932,26,124,625.3,42,0,0,0.0
Brandon Roy,21,133,-54,50,17.10051905920519,15,14.309685327038355,32,55,369.9,18,0,0,0.0
Chris Paul,2,13,-18,5,1.4780614203454912,3,18.13168312455804,23,5,52.1,3,0,0,0.0
Jamal Murray,193,919,-681,358,14.60965576065086,149,21.35034430679817,82,657,2286.2,144,0,0,8.97
Jordan Nwora,80,793,161,284,17.88020180225917,62,18.489672883844133,64,118,1575.8,124,0,0,0.0
Thaddeus Young,140,842,-4,311,19.689816527558467,118,29.64507439318584,47,140,1329.9,199,0,0,0.96
Josh Howard,166,442,150,115,25.206574962140333,72,25.11282701932983,21,136,792.4,220,0,0,14.01
Dwyane Wade,216,1062,-231,357,16.94332815383122,170,25.23965099750565,72,316,2059.4,369,0,0,1.82
Maurice Harkless,92,1288,-52,546,21.46467116148246,136,24.63975008724547,73,662,2417.6,236,0,0,14.74
Eric Gordon,74,335,-29,114,11.361860607295702,61,17.313954398864837,78,132,981.4,55,0,0,0.0
Rodrigue Beaubois,69,206,-5,62,15.12932917888563,35,18.692294113363744,28,65,545.6,86,0,0,0.0
Kai Jones,199,1166,74,439,17.267526726269736,230,23.098011746289068,82,155,2628.5,579,0,0,15.6
Khem Birch,7,41,33,17,2.883443938988494,22,10.012505433360614,65,88,373.7,6,0,0,0.0
Amir Johnson,2,16,-24,7,3.848343409915358,5,7.603074395357842,21,18,165.4,9,0,0,0.0
Miles Bridges,154,952,120,345,18.909686430723657,117,23.23372041288369,75,241,1958.1,346,0,0,0.84
Duane Washington Jr.,271,1421,204,528,21.97604688970651,137,25.899022808005817,72,309,2337.4,269,0,0,29.09
Nikola Pekovic,13,94,-18,40,27.530413354531,9,19.20150957767248,25,63,188.7,14,0,0,0.33
Danuel House Jr.,74,808,-72,317,16.111485392045108,113,23.85351973005759,76,126,1666.9,302,0,0,0.0
Lonzo Ball,27,152,2,48,10.01203204661326,28,10.27703126326413,72,86,686.5,78,0,0,0.0
Andre Miller,166,1180,379,473,19.459745329139345,139,19.79271871918421,82,535,2638.7,249,0,0,11.84
DeShawn Stevenson,49,478,-2,181,10.198093283317997,97,16.941244413784048,82,148,1412.9,109,0,0,0.0
Rayjon Tucker,18,82,-16,28,12.986611246943763,10,19.08227053817028,33,22,204.5,10,0,0,0.0
Royce O'Neale,30,327,-136,128,15.372797068254696,55,14.048677033171394,44,181,1091.5,107,0,0,0.0
Miles Plumlee,22,354,-232,126,12.440946618260048,40,10.654272293943553,77,106,1487.4,90,0,0,0.0
